📡  电信广电,#genre#
广东卫视,http:///rtp/239.20.0.131:2060
广东卫视高清,http:///rtp/239.20.0.101:2000
广东卫视超清,http:///rtp/239.20.0.99:3004
广东经济科教,http:///rtp/239.20.0.191:2180
广东经济科教高清,http:///rtp/239.20.0.102:2002
广东经济科教超清,http:///rtp/239.20.0.98:3008
广东体育,http:///rtp/239.20.0.114:2026
广东体育高清,http:///rtp/239.20.0.103:2004
广东体育超清,http:///rtp/239.20.0.97:3012
广东珠江,http:///rtp/239.20.0.111:2020
广东珠江高清,http:///rtp/239.20.0.64:3144
广东珠江超清,http:///rtp/239.20.0.63:3148
大湾区卫视,http:///rtp/239.20.0.125:2048
大湾区卫视高清,http:///rtp/239.21.0.84:3676
广东影视,http:///rtp/239.20.0.117:2032
广东影视高清,http:///rtp/239.21.0.85:3680
广东民生,http:///rtp/239.20.0.113:2024
广东民生高清,http:///rtp/239.21.0.86:3684
广东少儿,http:///rtp/239.20.0.118:2034
广东少儿高清,http:///rtp/239.21.0.87:3688
广东新闻,http:///rtp/239.20.0.112:2022
广东新闻高清,http:///rtp/239.21.0.93:3712
广东嘉佳卡通,http:///rtp/239.20.0.119:2036
嘉佳卡通高清,http:///rtp/239.21.0.94:3716
岭南戏曲,http:///rtp/239.20.0.115:2028
岭南戏曲高清,http:///rtp/239.21.0.147:3932
现代教育,http:///rtp/239.20.0.128:2054
现代教育高清,http:///rtp/239.21.0.148:3936
IPTV谍战剧场,http:///rtp/239.20.0.228:2254
IPTV相声小品,http:///rtp/239.20.0.229:2256
精选频道1,http:///rtp/239.20.0.17:3336
精选4k频道1,http:///rtp/239.21.0.97:3728
精选4k频道2,http:///rtp/239.20.0.250:2298
南方购物-精选,http:///rtp/239.21.0.105:3760
移动频道,http:///rtp/239.20.0.133:2064
南方购物,http:///rtp/239.20.0.116:2030
惠州综合,http:///udp/239.21.0.27:3448
惠州公共,http:///udp/239.21.0.28:3452
河源综合,http:///udp/239.21.0.48:3532
河源公共,http:///udp/239.21.0.49:3536
汕尾综合,http:///udp/239.21.0.89:3696
汕尾生活,http:///udp/239.21.0.90:3700
揭阳综合,http:///udp/239.21.0.91:3704
揭阳生活,http:///udp/239.21.0.92:3708
汕头综合,http:///udp/239.21.0.101:3744
汕头生活,http:///udp/239.21.0.102:3748
汕头文化,http:///udp/239.21.0.103:3752
东莞综合,http:///udp/239.21.0.137:3892
东莞资讯,http:///udp/239.21.0.138:3896
潮州综合,http:///udp/239.21.0.145:3924
潮州民生,http:///udp/239.21.0.146:3928
梅州综合,http:///udp/239.21.0.149:3940
梅州生活,http:///udp/239.21.0.150:3944
